step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.98207,0.76316,,
2,0.97624,0.75789,,
3,1.0569,0.72393,,
4,0.97617,0.76526,,
5,0.86909,0.77835,,
6,0.79913,0.78629,,
7,0.82338,0.77895,,
8,0.76708,0.78947,,
9,0.65516,0.81982,,
10,0.62625,0.83234,,
11,0.56264,0.83077,,
12,0.51276,0.84663,,
13,0.43104,0.86667,,
14,0.37256,0.90726,,
15,0.31835,0.93252,,
16,0.24826,0.94611,,
17,0.25962,0.94845,,
18,0.23936,0.94656,,
19,0.40106,0.90244,,
20,0.21852,0.93897,,
21,0.13287,0.97037,,
22,0.40006,0.89326,,
23,0.13019,0.97368,,
24,0.17684,0.94758,,
25,0.10062,0.97895,,
26,0.05107,0.99237,,
27,0.17891,0.96212,,
28,0.06515,0.98969,,
29,0.05844,0.99474,,
30,0.04763,0.99474,,
31,0.02681,0.99401,,
32,0.05344,0.98958,,
33,0.06196,0.99091,,
34,0.18635,0.93642,,
35,0.01328,1.0,,
36,0.06913,0.97581,,
37,0.14581,0.96591,,
38,0.13124,0.95812,,
39,0.00533,1.0,,
40,0.03747,0.98895,,
41,0.13884,0.97951,,
42,0.12604,0.98361,,
43,0.01958,1.0,,
44,0.00532,1.0,,
45,0.00641,1.0,,
46,0.00454,1.0,,
47,0.00755,1.0,,
48,0.00196,1.0,,
49,0.00107,1.0,,
50,0.03193,0.99479,,
51,0.00054,1.0,,
52,0.06227,0.98953,,
53,0.00024,1.0,,
54,0.04079,0.99237,,
55,8e-05,1.0,,
56,0.33221,0.91573,,
57,9e-05,1.0,,
58,8e-05,1.0,,
59,0.07087,0.98974,,
60,0.04116,0.99099,,
61,0.00012,1.0,,
62,1e-05,1.0,,
63,1e-05,1.0,,
64,0.01086,0.98974,,
65,0.06474,0.99259,,
66,0.0,1.0,,
67,0.0,1.0,,
68,0.16625,0.97653,,
69,0.00104,1.0,,
70,0.31006,0.9561,,
71,0.00015,1.0,,
72,6e-05,1.0,,
73,0.16033,0.98895,,
74,0.0,1.0,,
75,0.11237,0.98592,,
76,0.0,1.0,,
77,0.04384,0.9959,,
78,1e-05,1.0,,
79,0.0,1.0,,
80,0.0,1.0,,
81,0.09787,0.97727,,
82,0.08208,0.98485,,
83,0.0,1.0,,
84,2e-05,1.0,,
85,0.0,1.0,,
86,0.0,1.0,,
87,0.01129,0.9959,,
88,0.0,1.0,,
89,0.03888,0.98473,,
90,0.0,1.0,,
91,0.02746,0.99091,,
92,0.19667,0.96532,,
93,0.0,1.0,,
94,5e-05,1.0,,
95,0.0,1.0,,
96,0.0,1.0,,
97,1e-05,1.0,,
98,4e-05,1.0,,
99,0.0,1.0,,
100,0.00012,1.0,,
101,0.00024,1.0,,
102,0.03377,0.9955,,
103,7e-05,1.0,,
104,0.0,1.0,,
105,0.29082,0.97561,,
106,1e-05,1.0,,
107,0.0,1.0,,
108,0.0746,0.99531,,
109,0.0,1.0,,
110,0.31467,0.94382,,
111,0.0,1.0,,
112,0.09578,0.9711,,
113,0.0,1.0,,
114,0.0,1.0,,
115,0.0,1.0,,
116,8e-05,1.0,,
117,0.0,1.0,,
118,0.0,1.0,,
119,0.0,1.0,,
120,0.0,1.0,,
121,0.0,1.0,,
122,0.0,1.0,,
123,0.00271,1.0,,
124,0.0,1.0,,
125,6e-05,1.0,,
126,0.0,1.0,,
127,0.01231,0.99237,,
128,0.0,1.0,,
129,0.12806,0.99479,,
130,0.0782,0.99621,,
131,0.22729,0.98895,,
132,0.0,1.0,,
133,0.0,1.0,,
134,0.0,1.0,,
135,0.05909,0.98953,,
136,0.09821,0.99531,,
137,0.0,1.0,,
138,0.07003,0.99621,,
